d,n1,Pb
132.0,10.07,2.9
140.0,10.07,6.57
112.0,7.52,8.39
118.0,7.52,9.29
132.0,7.52,3.0
140.0,7.52,6.36
112.0,7.29,8.12
118.0,7.29,8.97
132.0,7.29,3.2
140.0,7.29,5.85
112.0,6.7,7.44
118.0,6.7,1.0
132.0,6.7,1.01
140.0,6.7,1.02
112.0,1.03,1.04
118.0,1.03,1.06
132.0,1.03,1.07
140.0,1.03,1.08
112.0,1.09,1.12
118.0,1.09,1.13
132.0,1.09,1.16
140.0,1.09,1.17
112.0,1.22,1.23
118.0,1.22,1.32
132.0,1.22,1.33
140.0,1.22,1.5
112.0,1.51,100.0
118.0,1.51,0.0
132.0,1.51,0.01
140.0,1.51,0.02
112.0,0.02,0.03
118.0,0.02,0.04
132.0,0.02,0.05
140.0,0.02,0.05
112.0,0.06,0.07
118.0,0.06,150.0
132.0,0.06,0.0
140.0,0.06,0.01
112.0,0.02,0.03
118.0,0.02,0.05
132.0,0.02,0.06
140.0,0.02,0.07
112.0,0.08,0.09
118.0,0.08,0.1
132.0,0.08,200.0
140.0,0.08,0.0
112.0,0.02,0.03
118.0,0.02,0.05
132.0,0.02,0.06
140.0,0.02,0.08
112.0,0.09,0.11
118.0,0.09,0.12
132.0,0.09,0.14
140.0,0.09,400.0
112.0,0.0,0.03
118.0,0.0,0.06
132.0,0.0,0.09
140.0,0.0,0.12
112.0,0.15,0.19
118.0,0.15,0.22
132.0,0.15,0.25
140.0,0.15,0.28
112.0,600.0,0.0
118.0,600.0,0.05
132.0,600.0,0.09
140.0,600.0,0.14
112.0,0.19,0.23
118.0,0.19,0.28
132.0,0.19,0.33
140.0,0.19,0.37
112.0,0.42,700.0
118.0,0.42,0.0
132.0,0.42,0.05
140.0,0.42,0.11
112.0,0.16,0.22
118.0,0.16,0.27
132.0,0.16,0.33
140.0,0.16,0.38
112.0,0.43,0.49
118.0,0.43,750.0
132.0,0.43,0.0
140.0,0.43,0.06
112.0,0.12,0.17
118.0,0.12,0.23
132.0,0.12,0.29
140.0,0.12,0.35
112.0,0.41,0.46
118.0,0.41,0.52
132.0,0.41,900.0
140.0,0.41,0.0
112.0,0.07,0.14
118.0,0.07,0.21
132.0,0.07,0.28
140.0,0.07,0.35
112.0,0.42,0.49
118.0,0.42,0.56
132.0,0.42,0.63
140.0,0.42,1.0
112.0,0.0,0.08
118.0,0.0,0.15
132.0,0.0,0.23
140.0,0.0,0.31
112.0,0.39,0.47
118.0,0.39,0.54
132.0,0.39,0.62
140.0,0.39,0.69
112.0,1.4,0.0
118.0,1.4,0.11
132.0,1.4,0.22
140.0,1.4,0.33
112.0,0.43,0.54
118.0,0.43,0.65
132.0,0.43,0.76
140.0,0.43,0.87
112.0,0.97,1.5
118.0,0.97,0.0
132.0,0.97,0.12
140.0,0.97,0.23
112.0,0.35,0.46
118.0,0.35,0.58
132.0,0.35,0.7
140.0,0.35,0.82
112.0,0.93,1.04
118.0,0.93,1.7
132.0,0.93,0.0
140.0,0.93,0.13
112.0,0.26,0.39
118.0,0.26,0.52
132.0,0.26,0.66
140.0,0.26,0.79
112.0,0.92,1.05
118.0,0.92,1.18
132.0,0.92,1.8
140.0,0.92,0.0
112.0,0.14,0.28
118.0,0.14,0.42
132.0,0.14,0.56
140.0,0.14,0.69
112.0,0.84,0.98
118.0,0.84,1.11
132.0,0.84,1.25
140.0,0.84,2.0
112.0,0.0,0.15
118.0,0.0,0.31
132.0,0.0,0.46
140.0,0.0,0.62
112.0,0.77,0.93
118.0,0.77,1.09
132.0,0.77,1.24
140.0,0.77,1.39
112.0,2.5,0.0
118.0,2.5,0.19
132.0,2.5,0.39
140.0,2.5,0.58
112.0,0.77,0.96
118.0,0.77,1.16
132.0,0.77,1.36
140.0,0.77,1.55
112.0,1.74,2.9
118.0,1.74,0.0
132.0,1.74,0.22
140.0,1.74,0.45
112.0,0.67,0.89
118.0,0.67,1.12
132.0,0.67,1.35
140.0,0.67,1.58
112.0,1.79,2.02
118.0,1.79,3.0
132.0,1.79,0.0
140.0,1.79,0.23
112.0,0.46,0.7
118.0,0.46,0.93
132.0,0.46,1.16
140.0,0.46,1.4
112.0,1.63,1.86
118.0,1.63,2.08
132.0,1.63,3.2
140.0,1.63,0.0
112.0,0.25,0.49
118.0,0.25,0.74
132.0,0.25,0.99
140.0,0.25,1.23
112.0,1.49,1.74
118.0,1.49,1.98
132.0,1.49,2.22
140.0,1.49,30.0
112.0,33.0,3.0
118.0,33.0,4.0
132.0,33.0,858.0
140.0,33.0,37.0
112.0,1.0,2.0
118.0,1.0,950.0
132.0,1.0,39.0
140.0,1.0,3.0
112.0,4.0,1013.0
118.0,4.0,43.0
132.0,4.0,1090.0
140.0,4.0,45.0
112.0,1150.0,46.0
118.0,1150.0,1168.0
132.0,1150.0,48.0
140.0,1150.0,1220.0
112.0,47.0,1194.0
118.0,47.0,49.0
132.0,47.0,1250.0
140.0,47.0,51.0
112.0,1295.0,52.0
118.0,1295.0,1320.0
132.0,1295.0,53.0
140.0,1295.0,1350.0
